column,q1,q3,iqr,lower_bound,upper_bound,outlier_count
red,40649.5,40944.0,294.5,40207.75,41385.75,276
ir,100198.0,100697.0,499.0,99449.5,101445.5,993
red_corrected,-54.93415817590622,73.77163349730911,128.70579167321534,-247.99284568572924,266.8303210071321,49
ir_corrected,-98.54380496100671,52.00906494932529,150.552869910332,-324.3731098265047,277.8383698148233,664
