lag,acf
0,1.0
1,0.994500592694378
2,0.9923978851189567
3,0.9900150094412422
4,0.9869946133569005
5,0.9840713739632956
6,0.9807627175979745
7,0.9771405210843498
8,0.973394702798902
9,0.9694547628610526
10,0.9655253150175837
11,0.9615959586120166
12,0.9576061888681627
13,0.9534842425453839
14,0.9495124224610646
15,0.9456058799794462
16,0.9419742071318108
17,0.9382603474566008
18,0.9344634182586982
19,0.9308875289269403
20,0.9273615061841061
21,0.9237059538427836
22,0.9202149695923313
23,0.9169991137481037
24,0.9138129884942584
25,0.9106834551520827
26,0.9075013691462719
27,0.9048257633743194
28,0.9019012525748921
29,0.8989643758598725
30,0.8962869633641564
31,0.8934647843158641
32,0.8908433069218751
33,0.888237633825087
34,0.885625019183042
35,0.8827652684980678
36,0.8801728099069374
37,0.8772661829320292
38,0.8743547375704338
39,0.8715470417239591
40,0.8685441989729131
41,0.8652796536264015
42,0.8621231144398337
43,0.8587784814404886
44,0.8554028992140904
45,0.8519907459146016
46,0.8484637146579473
47,0.8449067726343521
48,0.8413558716308559
49,0.8375976441576701
50,0.8339994808080348
51,0.8302552506536901
52,0.8264438524740165
53,0.822626158013636
54,0.8187513923240161
55,0.8150683035800627
56,0.8114035478610315
57,0.8078928351081494
58,0.8043765546574496
59,0.8010480414149136
60,0.7978089034168702
